Chapter,SubChapter,Question,Person,Answer
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,베르,회사에서 접속 하니까.. 비밀 보장이 안되는 ;;
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,칸타리안,후배들이 착하고 귀엽습니다.
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,코인물림,팀 내에서 소통 하는게 어렵지 않아요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,ㄹㄹㄹ,근데 옆자리에 팀장님이 있는.....
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,도비,일만 잘 하면 자율성이 있음
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,피카츄,222
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,우리 팀의 좋은 점 먼저 이야기 해볼까요?,seaaa,저희도요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,진행자,자율성이란?
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,도비,출퇴근이나 점심시간....
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,피카츄,"출퇴근 시간, 점심시간 빡빡하지 않음"
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,seaaa,"휴가나 재택하는 날, 출퇴근시간, 점심 건드리지 않아요"
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,주4일제,나에게 분배된 업무만 한다면 근태에 영향 받지 않는 것
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,당고,222
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,경기침체,휴가 항상 보장해주시고 보내주려하시고
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,아아,서로 서로 잘 챙겨줍니다
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,뿌셔뿌셔,믿음!!
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,당고,맡은 일만 잘하면 다른 건 크게 터치하지 않으세요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,야옹이는왈왈,"재택, 휴가는 최대한 챙겨주려 노력해주십니다"
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,주4일제,업무 너무 많으면 조정 잘 해주세요 팀장님께서
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,아아,22
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,HJ,휴가는 챙겨주는데 재택은.......
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,야옹이는왈왈,업무도 가능한 고르게 분배해주려 신경많이써주시구요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,HJ,팀바팀인듯요
회사 생활 근황과 팀 내 문화 파악,팀 내 분위기,자율성이란?,월요일은,잘한거 잘했다고해주고 힘든거 인정해주고 못한거 인격모독없이 피드백 주시는
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),진행자,(4) 질문4. 우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점)
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),주4일제,7점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),ㄹㄹㄹ,8점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),grrrr,9점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),뿌셔뿌셔,9.5점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),제우스,9.5
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),HJ,7
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),코인물림,10점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),야옹이는왈왈,10점 퍼펙합니다
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),주4일제,7.814점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),뭐라고할까,9.5점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),이쑤신장군,10점만점에10점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),배고프다,8점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),오바메양,10점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),진인사대천명,9점요
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),zzz...,9.9점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),hhh,9점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),감자,9점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),토르,10
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),?,7점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),SK,8점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),퇴근할랭,8
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),asdiiii,9점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),피카츄,7
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),0505,6
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),경기침체,9점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),파닥,8.5
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),도비,8
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),Kicj,6
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),진행자,(4) 질문4. 우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점)
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),제우스,생각보다 점수가 높네요
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),아아,8
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),야호,8점
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),도르박,9점이요!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),녹차,9
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),노네임,5
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),0101,9
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),seaaa,7~9
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),10점만점에10점,닉값
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),콩콩,8
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,우리 팀의 팀장과 팀원의 관계를 점수로 평가해 본다면 몇 점 정도 되는지? (10점 만점),콩콩이,7점!
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,이 점수를 준 이유는? 10점 줄수 있는 이유는?,진행자,(5) 질문4-1. 이 점수를 준 이유는?
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,이 점수를 준 이유는? 10점 줄수 있는 이유는?,진행자,10점 줄수 있는 이유는?
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,이 점수를 준 이유는? 10점 줄수 있는 이유는?,야옹이는왈왈,"앞서 언급했듯이, 서로의 입장을 최대한 이해+존중하고 배려하는 게 너무너무 좋습니다."
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,이 점수를 준 이유는? 10점 줄수 있는 이유는?,코인물림,"팀원과의 소통, 업무 분배, 팀 관리를 하면서도 실무를 가장 잘하심"
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,이 점수를 준 이유는? 10점 줄수 있는 이유는?,토르,서로 배려 해주는 부분 때문에요
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,진행자,8~9점 높은 점수 줄 수 있는 이유는?
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,토르,서로 믿음을 줍니다
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,뭐라고할까,"어려운 일이 있을 때 팀장님한테 말씀 드릴 수 있고, 바로 해결하실 수 없는 부분이라도 일단은 경청해서 들어주세요"
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,SK,조정이 필요한 순간에 중재를 해주심
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,제우스,"수평적인 관계, 팀원들의 의견에 귀 기울여 주시고 최대한 팀원들 모두가 만족스럽게 지낼 수 있도록 노력하심"
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,뿌셔뿌셔,실수할 때 탓을 하지 않고 피드백을 주시며 성장 기회를 주신다.
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,seaaa,인간적으로 대해주세요
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,진인사대천명,실력+성격이 최고입니다. 따를 수 밖에 없는 사람
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,S,원넓이] 굉장히 많이 챙겨주십니다! 가끔은 걱정될 정도로 당신보다 남을 더 챙기세요
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,yoyo,"업무에 대해 항상 피드백을 주시고, 감정적으로 사람을 대하지 않고, 팀원들의 업무를 항상 모두 파악해서 잘 나눠주셔요"
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,SK,다른 부분도 있겠지만 업무적인 부분이 젤 큰거같아요 시간은 한정되어있는데 업무는 넘 많으니까요
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,8~9점 높은 점수 줄 수 있는 이유는?,감자,의견을 잘 수렴해주시고 수직적이지 않아요 편하게 잘 대해주십니다
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,"수평적인 관계, 수직적이지 않은 관계를 느낄 수 있었던 순간은?",진행자,"수평적인 관계, 수직적이지 않은 관계를 느낄 수 있었던 순간은?"
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,"수평적인 관계, 수직적이지 않은 관계를 느낄 수 있었던 순간은?",ㄹㄹㄹ,"팀원에게 감정적으로 대하지 않고, 업무 실력이 뛰어나세요"
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,5~7점을 준 이유는?,진행자,5~7점을 준 이유는?
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,5~7점을 준 이유는?,주4일제,"7점: 팀원들 사이에 팀워크와 분위기는 매우 좋지만, 가끔 탑다운 형식으로 팀 안에 어떤 프로젝트가 돌아가는지, 어떤 업무를 배분 받게 되는지 잘 몰라서 갑자기 투입되는 경우가 가끔 있어요. 누가 휴가인지 모를 때도 있구요."
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,5~7점을 준 이유는?,?,통보보다 설명을 좀 해주면 좋겠음
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,5~7점을 준 이유는?,콩콩,"8점 이유: 팀원 의견도 물어봄(확인함), 의사결정 시(팀원 의견과 다를 경우) 이유 설명"
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,5~7점을 준 이유는?,seaaa,가끔 말을 안해서 원하는게 무엇인지 모르겠는데 팀원이 알길 바라는 것 같아요
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,5~7점을 준 이유는?,진행자,5~7점을 준 이유는?
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,5~7점을 준 이유는?,경기침체,abejnfqekq를 말하면 abcde로 정리해야함
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,5~7점을 준 이유는?,Kicj,"성격이나 실력 자체는 좋지만, 팀 내에서 처음 해 보는 프로젝트에 대해서 아무런 설명이나 인수인계없이 주니어에게 모든 걸 다 해내라고 하는 것"
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,5~7점을 준 이유는?,피카츄,업무가 너무 많아서 매니징이 안되는 느낌
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,5~7점을 준 이유는?,처음입니다만,업무가이드가 명확하지 않아서 혼란스러울때도 있어요
회사 생활 근황과 팀 내 문화 파악,팀 내 관계 평가,5~7점을 준 이유는?,주4일제,왜 힘들어 하는지 공감을 못하실 때도 있어요.
